id;status;batch_details;application_count;notes;batch_id;batch_ack_id
1;interfaces;AI magnetic;76947;Rubber;Latvia relationships;facilitate reboot synthesizing
2;Customer Shoes;empowering Nepal;88915;Berkshire;conglomeration programming;help-desk disintermediate
3;Garden index;Avon transition Hat;12067;Games Fresh XSS;integrate 24/7 Sharable;generating withdrawal Jewelery
4;Kyat;program;92059;Automotive gold;Arkansas transmitting salmon;Steel Bike bypass
5;orange Functionality;holistic Auto;79798;Account array Chair;niches Licensed Bedfordshire;one-to-one Rubber
6;withdrawal Small;Metal;1716;Belize Uruguay;HDD Darussalam;Towels
7;Balanced;firmware program;45700;interactive Multi-channelled deposit;Sleek;Tasty invoice
8;primary Soft Outdoors;Enterprise-wide;73989;Facilitator up Games;Table;Granite PCI
9;users;Maryland IB bypass;79700;visualize Steel Towels;management;set IB Guatemala
10;hub Multi-channelled Wyoming;matrix Account Operations;73431;Manager Jamaican 1080p;Iowa;Utah
