id;financial_year;km_date;km_date_mr;km_from_date;km_from_date_mr;km_to_date;km_to_date_mr;pacs_number;pacs_name;branch_id;branch_name;taluka_id;taluka_name;zindagi_patrak_date;zindagi_patrak_date_mr;bank_tapasani_date;bank_tapasani_date_mr;gov_tapasani_date;gov_tapasani_date_mr;sanstha_tapasani_date;sanstha_tapasani_date_mr;total_land;bagayat;jirayat;total_farmer;member_farmer;non_member_farmer;taleband_date;mem_loan;mem_due;mem_vasuli;mem_vasuli_per;bank_loan;bank_due;bank_vasuli;bank_vasuli_per;balance_sheet_date;balance_sheet_date_mr;liability_adhikrut_share_capital;liability_vasul_share_capital;liability_fund;liability_spare_fund;liability_deposite;liability_balance_sheet_bank_loan;liability_other_payable;liability_profit;asset_cash;asset_investment;asset_imarat_fund;asset_member_loan;asset_dead_stock;asset_other_receivable;asset_loss;total_liability;total_asset;village_code;pacs_verified_flag;branch_verified_flag;head_office_verified_flag;divisional_office_verified_flag;is_supplimentery_flag;sanstha_tapasani_varg;branch_verified_by;branch_verified_date;head_office_verified_by;head_office_verified_date;divisional_office_verified_by;divisional_office_verified_date;dosh_purtata_date;gambhir_dosh;branch_inward_number;branch_inward_date;branch_outward_number;branch_outward_date;head_office_inward_number;head_office_inward_date;head_office_outward_number;head_office_outward_date;tharav_number;tharav_date
1;Soft deliverables online;2024-01-31T20:42:44;Michigan metrics cross-platform;2024-01-31T22:18:40;wireless;2024-02-01T05:53:06;Unbranded;Handcrafted archive;Mouse mindshare;88433;Village Rubber JSON;21948;Rustic clicks-and-mortar Dynamic;2024-01-31T19:49:38;reboot Consultant hacking;2024-02-01T10:53:01;generating Buckinghamshire;2024-01-31T21:33:18;extensible alarm withdrawal;2024-02-01T11:12:27;dynamic interface;compressing;Extensions Account superstructure;white Granite;Hat Fantastic Bedfordshire;capacitor;Salad bluetooth copy;2024-02-01T03:56:26;Avon;payment Wisconsin Beauty;bypassing;generating;Avon Markets;quantify generate Tasty;Denar Summit XML;Road Business-focused;2024-01-31T22:21:42;Strategist deposit Indian;engage;mobile Guernsey;calculating Gorgeous microchip;redundant Cotton;open-source;sticky Account XML;Streamlined;Card;Tactics e-services;generation Hollow Orchestrator;Tasty Botswana Account;schemas cross-platform;metrics Frozen;seamless seamless;leverage;Outdoors connect quantifying;matrix withdrawal;set optical upward-trending;true;true;false;true;true;Borders feed Organized;Web;2024-01-31T13:48:39;system;2024-02-01T03:38:41;digital Borders Investor;2024-01-31T14:45:08;2024-01-31T19:07:28;Automotive;Massachusetts optical;2024-02-01T01:29:28;back-end;2024-01-31T14:24:33;bypass Bhutan;2024-02-01T10:12:18;Dollar Functionality;2024-01-31T21:20:57;Metal encryption Nepal;2024-02-01T01:26:53
2;orchid Fresh Avon;2024-02-01T07:12:50;French cyan Salad;2024-02-01T03:01:54;Garden Alaska;2024-01-31T20:13:47;Wooden Rustic service-desk;orchestrate Corporate synthesizing;Bedfordshire users;48065;Intelligent;261;partnerships end-to-end optimizing;2024-01-31T19:07:03;Cotton lavender Ergonomic;2024-02-01T04:30:45;transform;2024-01-31T16:30:08;Computers card;2024-01-31T23:06:58;Georgia;Consultant bluetooth Future;optical payment Designer;deposit Buckinghamshire;conglomeration;Data Dynamic Steel;People's;2024-02-01T03:38:29;JSON info-mediaries recontextualize;Computers;Mouse;motivating Colombia;JBOD Account;Metrics bandwidth;Borders;Intelligent Human;2024-02-01T05:09:45;Hills function;Loan Music;Clothing homogeneous;IB;Health;Movies Car Forward;generate;cohesive;cyan Silver;access generating;Gorgeous Pound Function-based;SDD synthesize;Dominican streamline Money;bricks-and-clicks JBOD invoice;Licensed;Route migration;Account;Iowa Quality;Administrator;false;true;true;true;false;ADP transmitting feed;Optional;2024-01-31T13:25:39;Steel;2024-01-31T17:39:35;24/7 Fantastic Administrator;2024-02-01T04:53:23;2024-02-01T11:30:05;Ergonomic Factors invoice;payment;2024-01-31T21:33:13;Mauritania best-of-breed Configuration;2024-02-01T11:46:04;Granite;2024-02-01T02:41:53;digital;2024-02-01T02:09:23;Music plum;2024-01-31T15:30:10
3;Nebraska enterprise SQL;2024-02-01T03:07:29;RSS capability;2024-02-01T06:17:16;Silver bleeding-edge leading-edge;2024-02-01T09:17:47;Credit online framework;Bike invoice Multi-channelled;innovative;16386;attitude-oriented Delaware Shoes;33603;local deposit;2024-02-01T01:50:38;Intelligent;2024-02-01T01:03:54;District Computers;2024-02-01T02:26:43;wireless;2024-02-01T10:11:40;deliverables Kentucky users;calculating;Awesome yellow;Factors;capacitor;Usability Kenyan Vermont;Soft;2024-01-31T15:54:06;Home Borders magenta;Toys Group;port feed GB;cross-media;Hawaii communities;Maryland;PCI Jordanian;bypass;2024-01-31T15:22:35;info-mediaries;Credit Cambridgeshire cross-platform;Plastic SSL invoice;Garden Paradigm quantifying;Branding Product Brunei;Cotton;Pound Massachusetts invoice;Michigan;Coordinator generate Awesome;Grocery;exploit generating Costa;synergies cross-platform;Andorra extensible;copying;Internal Music Mouse;Mexico deploy;gold;Dollar XML Orchestrator;Account;true;true;true;true;true;Highway;gold state Analyst;2024-02-01T04:30:16;fresh-thinking Monaco matrix;2024-01-31T19:47:09;knowledge Home;2024-02-01T02:38:33;2024-01-31T13:17:05;initiatives Focused Micronesia;lime background reintermediate;2024-01-31T22:26:57;magenta;2024-02-01T10:27:28;optical Research Open-source;2024-01-31T19:20:29;Account ADP;2024-02-01T04:53:21;synergistic green revolutionize;2024-01-31T17:18:12
4;Guilder National payment;2024-02-01T10:56:24;synthesize Computers sky;2024-02-01T07:45:48;Industrial deposit Fantastic;2024-02-01T04:24:34;Chips Soft;Concrete;Sausages;19284;Consultant productize platforms;4514;yellow South Interface;2024-01-31T21:48:56;Franc;2024-02-01T08:40:25;Expressway Malawi Principal;2024-01-31T18:08:24;Savings Berkshire open-source;2024-02-01T01:19:20;connecting Pizza Road;Tasty pixel;Massachusetts Networked;Product Loan robust;Palladium Account Soft;circuit;Fish;2024-01-31T13:15:23;Security redundant;Iowa Extended online;Missouri generation deposit;Ohio circuit;calculate clear-thinking;Handmade tertiary content;reintermediate Account tan;Director;2024-01-31T14:52:19;plum;Branding Concrete;state protocol;Metal Implementation;redundant transmitting;Intelligent Forward Dobra;Pants;Credit Assurance Tasty;Paradigm;Sausages payment;Money superstructure indigo;Rubber;User-centric Engineer;Product;Digitized Pizza;Plastic Fresh;channels deposit;Pound AGP;Future-proofed Gloves Park;true;true;false;true;true;models e-enable;Loan state;2024-01-31T21:53:58;Concrete user Principal;2024-02-01T01:12:01;input input;2024-01-31T23:46:00;2024-02-01T11:47:55;Human Metal;Dynamic Web;2024-02-01T07:23:04;Checking Steel Kroon;2024-01-31T19:01:29;multi-byte;2024-02-01T01:53:34;cyan Sports generating;2024-01-31T20:05:35;and Data;2024-01-31T13:41:22
5;Computer Licensed;2024-02-01T07:40:39;firewall Team-oriented Granite;2024-01-31T20:07:54;Kip;2024-02-01T03:52:17;Berkshire;Ford Wooden;Cambridgeshire stable Mouse;68196;Small Tuna;55111;Intelligent approach Cambridgeshire;2024-01-31T16:25:30;Outdoors Jersey;2024-02-01T07:34:29;Utah Director;2024-01-31T13:28:16;non-volatile;2024-02-01T06:59:27;Rubber synergies;Future Missouri transmitter;Outdoors Consultant;Nevada Shirt Baby;Small Cheese B2C;Democratic;tangible Data;2024-02-01T09:57:07;alarm;Enterprise-wide;Computers input;Wooden;Usability Gloves;bandwidth-monitored;human-resource New yellow;Multi-channelled Ngultrum up;2024-01-31T16:58:48;Savings;RSS card;Dram program Money;Future-proofed;projection connect Beauty;Table Planner Fantastic;experiences;card initiatives Concrete;tolerance;Dynamic;RSS invoice synthesize;Kids Pound;index initiatives Extended;Bulgaria Idaho;real-time;bandwidth;Gorgeous;Borders throughput;Minnesota Future Peru;true;false;true;false;true;Borders;National metrics;2024-01-31T12:40:59;strategy platforms;2024-02-01T07:10:32;mobile Implementation;2024-01-31T22:43:34;2024-02-01T02:49:44;XSS;technologies International;2024-01-31T14:14:48;Fresh;2024-01-31T23:05:23;Home Sausages withdrawal;2024-01-31T17:04:48;overriding;2024-01-31T21:40:07;Computer support withdrawal;2024-01-31T14:50:38
6;invoice Investment;2024-01-31T18:17:26;Executive black;2024-02-01T10:04:41;Applications Supervisor metrics;2024-02-01T11:10:46;state Trafficway wireless;withdrawal;metrics;4952;HTTP Account People's;38966;asynchronous Bike;2024-01-31T16:17:53;HTTP Shoes multi-byte;2024-02-01T09:47:31;Internal;2024-02-01T07:03:37;Human Buckinghamshire;2024-02-01T11:29:52;bypassing Tasty relationships;neural-net reinvent;haptic Licensed XSS;one-to-one;reintermediate Rubber override;Cloned hack;Lead interface;2024-02-01T05:42:44;SMTP enterprise sexy;Uruguayo User-friendly;Practical Borders;benchmark Generic networks;deposit Loan;system-worthy;orchid;Carolina Hat;2024-02-01T06:44:53;static program Assimilated;1080p Licensed Implemented;Florida sky Soft;Operations world-class methodology;bypassing content;Markets mesh;technologies;Alaska;approach Research;navigate;scalable;incubate;Cheese compressing;Baht;service-desk evolve;Nakfa IB;SSL Data;vortals hour;Borders Health;false;true;false;true;true;Zealand sensor Industrial;Integration;2024-02-01T07:43:39;Operations;2024-01-31T19:26:46;input Industrial;2024-02-01T00:57:36;2024-01-31T13:09:53;Directives;Money copying;2024-02-01T04:07:17;COM Reduced;2024-01-31T13:19:26;Causeway mission-critical;2024-02-01T08:36:13;Saudi Investor Venezuela;2024-02-01T01:43:59;migration Ergonomic;2024-01-31T21:02:50
7;Sausages;2024-02-01T00:31:41;grey primary attitude;2024-02-01T06:23:34;Total;2024-01-31T20:10:51;Platinum navigate;Strategist SQL;Beauty payment Frozen;63031;Card;94154;neural;2024-02-01T01:32:34;withdrawal;2024-02-01T02:22:36;Turkmenistan;2024-02-01T03:03:10;Ergonomic;2024-02-01T03:39:06;Rubber;Legacy Human;empowering Advanced;Berkshire magnetic;Games Diverse;blockchains;synergistic Corporate;2024-01-31T19:54:06;Kwacha;parse New;Balanced deposit California;Florida Avon;Ferry Romania;Manager Toys;Home Arizona;e-markets Burg;2024-01-31T15:51:12;Markets homogeneous;Dalasi Meadow bus;web-enabled;Director;Cambridgeshire cross-platform transform;Optional;Industrial non-volatile;Response;Account Strategist e-commerce;salmon;Rubber bandwidth;International;Account;Analyst wireless Shirt;Lakes;Communications Small context-sensitive;system e-commerce multi-byte;deposit Berkshire Web;distributed;true;true;false;false;true;state;open-source Passage Bedfordshire;2024-02-01T03:38:20;Locks Account overriding;2024-01-31T14:22:50;Grocery driver Profit-focused;2024-02-01T11:19:43;2024-01-31T16:34:27;viral portals generate;Plastic Intuitive Berkshire;2024-02-01T04:23:48;logistical edge;2024-02-01T06:45:19;recontextualize SAS;2024-02-01T00:29:15;modular Cloned;2024-01-31T20:50:33;Licensed alliance implementation;2024-02-01T10:47:07
8;Mozambique quantifying;2024-01-31T19:30:58;ROI Executive;2024-01-31T12:52:57;channels Checking;2024-02-01T05:30:49;Hat Path Shoes;Table programming;feed Gloves;10695;Iowa pink;39641;Configuration;2024-01-31T19:09:24;regional Implemented;2024-01-31T21:42:42;Avon Pants Ergonomic;2024-02-01T03:51:55;Lithuanian Station tangible;2024-01-31T15:52:57;Club Wooden Wooden;Concrete Vista Plastic;Chair North deploy;hacking Table bypass;enterprise Health;Iowa primary;optical;2024-02-01T08:15:34;Wooden Reverse-engineered payment;Bedfordshire action-items;neural Handcrafted Quality;Advanced;strategize transition Officer;projection Leu FTP;target Books calculating;Bedfordshire;2024-01-31T23:12:55;program Pataca;Bahamas International;Beauty Rhode Product;Ville;Bridge;JSON;Plastic;payment;Steel Michigan;haptic ivory;payment indexing;Vanuatu Assistant;auxiliary;repurpose Junction;azure;Oklahoma parse Kenyan;Shirt;fuchsia;facilitate Car;false;false;true;true;false;Hampshire Buckinghamshire;cross-platform lime Australia;2024-02-01T09:47:22;Music multi-tasking dot-com;2024-01-31T14:32:03;navigate Account Chips;2024-01-31T14:01:10;2024-01-31T18:42:51;solutions;Health Berkshire Groves;2024-02-01T02:27:05;utilize;2024-02-01T00:27:55;Human hacking;2024-01-31T18:01:00;Wisconsin primary Tactics;2024-01-31T18:07:27;Upgradable California;2024-01-31T16:14:58
9;Rupee Lead;2024-02-01T11:27:43;cross-platform Generic;2024-01-31T21:33:39;green;2024-01-31T21:55:47;array online;interfaces front-end one-to-one;Cotton Frozen;79922;Administrator communities B2B;45638;Algeria;2024-01-31T15:42:05;Steel wireless Macao;2024-02-01T04:01:39;Frozen;2024-02-01T10:49:42;mobile;2024-02-01T06:13:41;intangible International;bifurcated Synergistic;auxiliary Practical;Computer Tasty;synthesizing EXE;Louisiana virtual methodical;Intelligent Mouse Buckinghamshire;2024-01-31T17:41:24;connect overriding bluetooth;firewall convergence;e-tailers Michigan Administrator;programming;workforce;Granite Credit Loan;national Assurance;Cambridgeshire;2024-01-31T19:52:07;Turkmenistan niches whiteboard;grey Awesome;synthesize Intelligent Buckinghamshire;Investment Virginia Security;Interactions payment;Avon methodology;Applications National;ROI Gorgeous;port Virginia;Villages value-added web-enabled;Ergonomic pink Synergistic;harness up compress;forecast Account;Assurance Public-key;Inverse;Synergistic Gambia;Agent Executive;XSS Home;Borders Director Music;true;false;true;false;true;value-added deposit;syndicate deposit index;2024-02-01T07:08:15;JBOD protocol;2024-01-31T22:12:16;Pants calculating quantify;2024-02-01T10:56:29;2024-01-31T20:36:23;Graphic red Ukraine;Carolina;2024-01-31T16:46:30;primary bandwidth Internal;2024-02-01T01:16:10;dot-com Ergonomic Frozen;2024-01-31T16:55:15;Sports;2024-02-01T02:18:13;navigate Central Rubber;2024-02-01T00:08:49
10;Division;2024-01-31T13:11:13;Assistant;2024-02-01T09:22:38;Plastic;2024-01-31T21:22:25;Buckinghamshire withdrawal;Towels Account Arkansas;Persevering functionalities deposit;27415;Cambridgeshire Cotton Fish;59167;Group;2024-02-01T00:33:22;Malaysia;2024-02-01T09:24:01;Dollar;2024-01-31T18:12:23;TCP Missouri Architect;2024-02-01T04:48:53;Wells Corporate;virtual alarm clicks-and-mortar;Baby Functionality;Crest hard;Indiana Auto deposit;sexy;orange Kroon Granite;2024-01-31T23:15:57;panel;deploy Cotton;PNG Account;parse wireless;Optimization Mayotte Virgin;6th;transitional Terrace;haptic Optimization azure;2024-01-31T16:01:38;Concrete;Fully-configurable Samoa copying;Platinum;Table Metrics Sleek;Haven redundant;Industrial Handmade Incredible;West;HDD Executive enhance;Games;Intelligent architecture;Generic;multi-byte Solutions Cambridgeshire;Towels COM Rustic;Bedfordshire;Fantastic;Garden;primary firewall Adaptive;Agent Front-line Specialist;Territories Avon;true;false;false;false;true;Money;networks;2024-02-01T12:26:48;Granite exuding;2024-02-01T10:50:10;Sausages Total;2024-02-01T01:18:20;2024-02-01T12:31:05;Venezuela online;Cambridgeshire;2024-01-31T20:26:07;function Account payment;2024-01-31T23:34:36;Taka web-readiness;2024-02-01T09:06:41;Account virtual grid-enabled;2024-01-31T15:54:18;Mauritius online Dakota;2024-02-01T04:34:38
