id;crop_name;crop_balance;crop_due;crop_due_date;crop_vasuli_patra_date;km_manjuri;km_area;e_karar_number;e_karar_amount;e_karar_area;magani_area;magani_amount;magani_share;pacs_number
1;Liaison National;61526;33970;2024-03-07T04:02:44;2024-03-06T17:35:48;5072;11829;Rubber generating;57242;94001;16459;37666;22710;Iceland Borders
2;Towels;92353;47177;2024-03-07T04:16:36;2024-03-06T18:22:47;31074;28840;Chicken lime content;71440;47569;58715;46900;71771;Oro regional emulation
3;Incredible Markets;83433;23565;2024-03-06T14:04:37;2024-03-07T06:01:52;52274;63419;Bedfordshire Kina;91726;30889;89780;49560;71370;Indian
4;motivating Philippine;72615;26273;2024-03-07T02:23:14;2024-03-06T20:25:32;72577;34210;synthesize Administrator;95979;55772;99865;58628;51405;Data Customer
5;bus;79488;85000;2024-03-06T22:26:03;2024-03-07T05:55:49;57536;91969;invoice Car transmit;2764;38045;5717;62590;11708;Isle hack gold
6;program Tactics content-based;1215;63944;2024-03-06T19:23:19;2024-03-07T08:24:29;44372;7921;24/365 Pound;56659;91763;85006;65676;41611;payment parsing Metal
7;Chips;85626;18681;2024-03-06T11:31:07;2024-03-06T11:37:46;37854;71220;Accountability hacking;83279;95140;995;82220;86877;Ergonomic Response
8;synergies exploit Concrete;54426;29751;2024-03-06T15:58:57;2024-03-06T20:14:30;56073;43961;deliverables;98916;91902;77188;73896;55507;Silver engineer Netherlands
9;Tunnel human-resource relationships;12007;49160;2024-03-07T00:46:04;2024-03-06T15:41:57;32190;28435;Planner;18583;64731;57437;13922;59741;integrated white
10;Fresh model Triple-buffered;53018;24950;2024-03-07T01:33:39;2024-03-06T18:24:05;27621;53966;THX encompassing;66054;18391;65437;15482;90581;infrastructure deliverables
