id;file_name;unique_file_name;address;address_mr;hangam;hangam_mr;factory_name;factory_name_mr;total_amount;total_amount_mr;from_date;to_date
1;roof stonework upon;mewl versus swill;curiously;than oof rapidly;euphoric oof yet;calmly;like or obedient;cool;13834.92;incidentally outside;2023-12-10T03:04:59;2023-12-09T20:41:24
2;upright;freeload meh barrel;between with;boo creamy direct;once out;provided;drat beside nervous;resume;30133.93;politely knottily since;2023-12-09T17:33:24;2023-12-09T20:53:10
3;till;gee whereas lest;ah;from even amortise;ugh;whoever;size ah;nearly;27416.12;vice;2023-12-10T09:15:28;2023-12-09T17:45:17
4;gosh;corrupt;bah beside;whoever;infantilise firm;likewise;unwelcome indeed;especially yet because;32483.21;annually;2023-12-09T20:30:50;2023-12-10T06:15:14
5;councilman qua photograph;united however consequently;plus apropos;where sympathetic;cloth oh majestic;eek which noodles;scope;telescreen;29727.43;selfishly collude;2023-12-09T23:19:32;2023-12-09T19:17:39
6;hourly an;phooey phew than;mmm;other;triumphantly;not gadzooks overheard;virtue reluctantly dazzling;gutter however partial;1278.86;so stingy organising;2023-12-10T06:11:10;2023-12-10T09:04:12
7;near;indeed;which;loyalty anti;scatter;next mortally;yet;birth octopus;9049.67;though start bother;2023-12-10T02:30:57;2023-12-10T02:28:35
8;even vice;elegantly;over versus always;dutiful;yowza;considering perfumed;spurn captivate demolish;altruistic ew;22580.47;unlike before majestically;2023-12-10T08:54:10;2023-12-10T09:56:39
9;brim while;slow phew;merry out;indeed unless;grout across ew;opposite;worse wrongly despite;brother knavishly vacantly;11401.23;liability feminise;2023-12-10T03:50:55;2023-12-09T22:41:55
10;gummy where;tube so;succeed;molding busy yuck;feud jut;alarmed;meaning unto;fondly including that;6746.72;propane whereas;2023-12-10T01:48:06;2023-12-10T02:26:13
