id;error_type;error_code;error_message;column_number;sevierity;expected_solution;status;jhi_row_number;batch_id
1;pixel Savings;Bedfordshire;Metical Hat;98674;Outdoors Utah red;Legacy Bulgarian Savings;engage Fresh;95210;Functionality Investment
2;partnerships;tan Phased indexing;withdrawal needs-based;19509;Unit;Federation;multi-byte;52670;green
3;Program;primary;Internal International;25929;Franc feed Borders;Cliff Rupee;Integrated lime;48482;Clothing Montana Small
4;Arkansas Designer paradigms;testing;Wooden withdrawal;81221;Generic Fork;Internal Account Licensed;white invoice Keyboard;63851;Market Producer Handmade
5;initiatives Metal deposit;Gloves Engineer Bacon;Small;7208;Corporate;Bypass Mountains USB;action-items pixel Optimization;5181;6th
6;Fish Universal Isle;Fresh Islands Practical;XSS Car;31159;Loan;functionalities Iranian Fish;Liaison Forward;55489;generation intuitive
7;project;bleeding-edge Business-focused synthesizing;engage XML Gibraltar;84118;withdrawal;Pizza;Georgia architectures Congo;30419;incubate
8;quantifying Garden turn-key;Electronics teal functionalities;Pound California Via;93738;deposit Soft auxiliary;interfaces Synergized digital;Pizza Pataca Electronics;97764;Ford Supervisor
9;Florida;Tunnel Investment;action-items attitude Director;70998;HTTP;digital Orchestrator viral;International markets;65458;Circles Chips Virginia
10;connect Planner salmon;Koruna;Face Configuration;59945;functionalities HDD methodology;Towels quantify Decentralized;Clothing HTTP;47048;Market
