id;village_name;village_name_mr;village_code;village_code_mr
1;nor scarcely save;worriedly;14309;since
2;nicety mmm;speedily;26744;vogue fiercely
3;down oh assault;toe ouch dare;15080;document talkative
4;by descale easily;sure-footed exactly poverty;13089;patiently lopsided familiarise
5;apropos;woefully besides fooey;20988;wiry
6;ugh;beneath cap bull-fighter;17683;patrimony
7;sheer likable drat;wetly;24334;whether object once
8;hence whether able;gosh wearily musty;18523;upbeat
9;scholarly;cautiously however because;10964;psst embed
10;educated;uh-huh;7121;yet apron extremely
