id;crop_loan;km_chart;demand;km_summary;km_date;to_km_date;cover_page;crop_type_number;crop_type;from_hector;to_hector;defaulter_name;suchak_name;anumodak_name;meeting_date;resolution_number
1;innovative;Rubber;XML;optical National Digitized;2023-09-27;2023-09-27;true;rich Web;deliverables;overriding;Granite bandwidth microchip;Gorgeous deposit;workforce Intranet;index workforce;2023-09-28;Principal green
2;digital plum matrix;drive copying Suriname;solutions;optimizing state Massachusetts;2023-09-27;2023-09-27;true;Synergized Ball;hacking;Hat Fresh;Kentucky auxiliary;Account Producer;Avon hard;Avon;2023-09-28;Borders Concrete SSL
3;users calculate;Steel Swaziland Canyon;success Small Estate;Borders Plastic Buckinghamshire;2023-09-27;2023-09-28;false;Account SMS;Chair monetize;Gorgeous;withdrawal Engineer;maroon ROI;Lilangeni New;Berkshire seize;2023-09-27;Steel
4;generating;Africa silver Pizza;Omani user-centric bluetooth;mission-critical;2023-09-27;2023-09-27;false;feed Metical even-keeled;24/7 transmitting;digital;redundant Pants;invoice invoice;Lane PNG;definition Crossing benchmark;2023-09-27;Italy olive navigating
5;olive;Enhanced;Producer Keyboard card;iterate;2023-09-28;2023-09-28;true;Florida Planner;Frozen Marketing Manager;payment;envisioneer;Bedfordshire Cambridgeshire Mobility;Web;analyzer Auto Strategist;2023-09-27;Metal
6;Account Operations Borders;transmitter applications withdrawal;Chips;Human Bedfordshire;2023-09-27;2023-09-27;false;United Bedfordshire Directives;Regional Customer proactive;invoice Metal circuit;Crest Handcrafted;interactive;scale wireless;convergence;2023-09-27;Lights optical
7;Rubber implement;Chair Facilitator Market;paradigm visualize;Cotton California;2023-09-28;2023-09-27;false;mindshare payment;web-readiness Leu bypass;Web Tasty Handcrafted;District 1080p;Lock Interactions;proactive silver;Functionality Buckinghamshire optical;2023-09-28;Berkshire collaborative
8;Licensed XSS;Directives Refined generate;Manager Gold;Key circuit plug-and-play;2023-09-27;2023-09-27;false;Granite engage;Planner Account orchid;Oregon;Manat Cotton Awesome;Plastic;zero Plastic green;Terrace;2023-09-27;Legacy
9;Intelligent contextually-based Ball;Shoes bypass;Devolved;violet Bangladesh;2023-09-27;2023-09-27;true;Chips project transmitting;application Chief Mexican;Investor;CSS input;ADP;primary;Fantastic end-to-end;2023-09-27;Sleek
10;Investment;Global Steel;unleash Assistant Sahara;synergies Regional;2023-09-27;2023-09-28;true;Berkshire Assurance;Cotton facilitate;Senior Cotton;migration;Group;Automotive Orchestrator synthesizing;Fresh protocol;2023-09-27;Checking
