id;hector;hector_mr;are;are_mr;no_of_tree;no_of_tree_mr;demand;demand_mr;society;society_mr;bank_amt;bank_amt_mr;vibhagi_adhikari;vibhagi_adhikari_mr;branch;branch_mr;insp_amt;insp_amt_mr
1;72006;CSS;99518;JSON red open-source;66221;calculate up Executive;55908;California Euro;Pennsylvania;Salad Kina;11529;Account;iterate Bedfordshire Account;heuristic Principal;Frozen Outdoors reinvent;Table online;79797;Arizona
2;12923;Facilitator Movies Metal;17342;Group;74799;Games Identity;34727;Green yellow withdrawal;quantifying indigo;Awesome;65485;Buckinghamshire Profound Analyst;Central Indian;Buckinghamshire;Georgia;AGP Concrete;73650;Balboa Accounts
3;95094;Bacon;23079;sky deposit Steel;73773;Chips user-centric Bedfordshire;23015;Maryland;violet Chicken;Lead Views Handmade;55909;Virginia Drive;attitude-oriented deposit Branding;Alabama Auto payment;cross-platform Nakfa;Internal Director;29430;SSL port
4;96686;Handcrafted envisioneer Officer;68972;orange;93214;non-volatile lavender;11175;Arkansas support Cambridgeshire;impactful Steel;Fords;52075;Mexico;Squares generating;Associate;actuating;upward-trending Representative Assimilated;56062;PNG
5;87218;deposit;71360;Guinea Kids Account;75858;Account;36703;copying solutions;Mews;Assurance Florida;27414;Account capacity;payment Austria;synthesize;Kyat Triple-buffered stable;Car withdrawal Designer;364;neural Gorgeous
6;38980;Account Ergonomic;22815;Gibraltar payment;47577;cross-platform Program;37982;salmon Cambridgeshire overriding;Wooden project;Frozen RAM Steel;69380;Cambridgeshire;Nauru syndicate;Common COM Sports;Nevada blockchains cross-platform;front-end Books;46352;AI
7;54373;user Manat;86748;Squares Tuna global;57801;Wells;14603;blue;Chips Intelligent;content data-warehouse;61331;Licensed;revolutionize York success;Specialist cultivate;port;Portugal Cambridgeshire efficient;97112;cross-platform interfaces bandwidth
8;8963;Representative;18191;Focused Islands Car;55419;Investment payment;13059;B2B calculating e-business;Borders Cambridgeshire Account;Borders Liaison;33528;bluetooth Granite;demand-driven Sports HDD;function;wireless plum Bacon;Tuna;7069;compress
9;39411;turquoise vortals;86019;Soft Tennessee mobile;3654;Pizza Division;77807;programming Frozen;engage dynamic Wisconsin;Toys neural;73281;Norfolk;digital Central azure;Minnesota olive;Account Health;web maroon Clothing;96539;Organic real-time
10;15257;navigating gold Practical;68292;engine;20444;systems;62694;Green Awesome;back 1080p Mouse;panel Future;74007;Handmade;SDD;Infrastructure customized;cultivate Greece Buckinghamshire;Bedfordshire Niger;52166;Mountain
