id;batch_id;unique_id;record_status;application_status;kcc_status;recipient_unique_id;farmer_id
1;Car Carolina;Tools;35406;21702;93534;Shoes;Compatible
2;Bedfordshire;Swaziland;25750;1390;70068;composite interface;generation Grocery
3;Officer ADP;asymmetric Music;76185;23676;81245;Vermont;encoding EXE
4;Computers;matrix Illinois Avon;24290;15997;61176;parsing;auxiliary Palau
5;Cambridgeshire Litas;lavender Guiana open-source;50007;80309;37498;magenta Bike Electronics;Mexico Table Estate
6;Credit;Lake sensor;17267;24709;69835;Garden;Automotive Points
7;asynchronous Towels Refined;Auto Accounts;42181;19480;74561;Silver;Brand
8;Metal Gorgeous;Handcrafted paradigms;76398;92284;70226;Bedfordshire background;payment sensor
9;strategize Consultant;transition Metal Home;85980;80867;52342;PNG Terrace;Berkshire
10;Nebraska;Toys XML;90459;31307;61488;Soft Games;Bedfordshire Designer Way
