id;cast_name;cast_code;cast_category_code
1;Bedfordshire;Multi-channelled;SCSI
2;e-business deposit transmitter;drive THX;card Tools XML
3;Designer;Djibouti Engineer RSS;algorithm recontextualize
4;Bacon HDD;Rustic;Garden paradigms Future-proofed
5;white quantify Carolina;Investor Wooden;groupware wireless bandwidth
6;transition;transparent Bacon Tasty;SMS
7;Louisiana initiative;Shoes of Mobility;Colombian COM
8;quantifying;Seychelles visionary;Principal unleash
9;Tokelau deposit Exclusive;Synergized withdrawal;Fish
10;Concrete;Legacy redefine;Developer
