id;district_code;district_name;state_code
1;Architect;Investment;synthesizing
2;Marino asynchronous;Soft Intelligent logistical;Architect Creative Loan
3;Generic;blockchains plum Tennessee;Soft Solomon
4;Bacon Wooden payment;microchip;wireless Cambridgeshire Gorgeous
5;Garden Avon hub;Glens Handcrafted;navigating TCP open
6;Paradigm;expedite;e-business Mobility
7;cross-platform;Human;Human auxiliary
8;Garden niches Guadeloupe;methodologies overriding Plastic;Accountability
9;Regional Islands;Valleys Auto;fuchsia
10;Producer Chips;Integration override;virtual array Money
