id;financial_year;current_amount;current_amount_mr;percentage;active_flag
1;cyan Outdoors Saint;6621;Tuna teal portal;61811;false
2;Identity withdrawal;27618;next technologies;11924;false
3;Technician;74797;Fresh Compatible;18174;false
4;microchip;1527;Computers SQL;11395;true
5;benchmark Integrated Orchestrator;50118;Borders;6809;true
6;Montana Specialist Organized;3577;Supervisor Fresh Salad;21285;true
7;panel Internal;46089;Bolivar;65783;false
8;deploy Rustic;228;Dynamic;44644;false
9;ADP Mouse Shirt;2479;Chair;43409;true
10;National Computers Plaza;27169;strategize;93193;true
