id;error_type;error_code;error_message;jhi_row_number;column_number;sevierity;expected_solution;status
1;Mali harness calculate;copying invoice Frozen;Health Samoa;21098;33586;Loan Towels;Central Card;Plastic
2;Lesotho Progressive port;utilize;Islands haptic bypassing;25917;50321;protocol Streets withdrawal;program deposit multi-byte;Home Aruban technologies
3;Marketing;array Table Dollar;drive Future;40115;58520;compressing withdrawal;value-added Savings Glen;Prairie transmitter Michigan
4;Central;Accounts bypass;interface SQL Gorgeous;84224;74842;Unbranded payment Lebanese;Electronics black red;solution bluetooth withdrawal
5;Operations;Security;Table budgetary migration;52019;90518;Metal Chicken Consultant;Factors;synthesize
6;support China Books;parse Cape;Toys;18045;57916;International;calculate Chair;Regional navigating e-services
7;Fresh;mindshare Germany open-source;tangible orchestrate Cedi;67870;50934;Music;open-source Liaison;Ergonomic Auto
8;Oklahoma Account adapter;Hampshire withdrawal;Kids;58145;63661;ability;benchmark;card Garden Shoes
9;neutral Awesome;synthesizing bandwidth;compressing olive;14700;24317;Saudi;clicks-and-mortar RAM Practical;killer Dong Towels
10;Dalasi;system Product;morph;65946;63413;Franc;Fantastic;panel Garden Island
