id;file_name;file_extension;branch_code;financial_year;from_disbursement_date;to_disbursement_date;pacs_code;status;application_count;notes
1;Shirt Tasty;Pound synergies Fish;32572;Kwacha FTP;2023-07-10;2023-07-10;57853;withdrawal invoice;Kansas Pizza;Ethiopia
2;Hat communities contextually-based;architectures Sahara;19870;Officer withdrawal Concrete;2023-07-10;2023-07-10;52746;Account;B2B;Sleek Granite
3;digital reciprocal Tanzania;hardware;24834;copy;2023-07-11;2023-07-10;33274;Berkshire Shirt;Circle;Electronics International
4;Loan Designer Concrete;ivory Borders;68998;quantify;2023-07-10;2023-07-11;54556;Berkshire Handcrafted distributed;Fresh Savings;Maine Morocco
5;Arizona;Supervisor Avon override;63455;e-services mission-critical Integration;2023-07-11;2023-07-10;62291;Tasty Security;circuit Loan PNG;index
6;New multi-tasking;maroon cross-platform;50126;migration Implementation Electronics;2023-07-10;2023-07-10;29687;matrix;Assistant Lodge Guadeloupe;e-business Fresh Networked
7;Mouse;Manager;62733;GB;2023-07-11;2023-07-10;95152;CSS alarm;Gorgeous Cambridgeshire JBOD;redefine Mississippi withdrawal
8;Optional Hollow Shoes;transmitter mobile partnerships;71073;Paraguay;2023-07-10;2023-07-10;13722;Practical;Steel;transparent Intranet back-end
9;Oklahoma Consultant Baby;Avon;27107;Salvador transmitting;2023-07-10;2023-07-10;86185;Developer Indiana;front-end;Quality Island
10;Dobra invoice Specialist;driver Refined program;15299;Future architectures channels;2023-07-10;2023-07-11;44840;compressing cross-platform Unbranded;Synergistic Corporate;USB PCI
