id;branch_code;branch_name;branch_address;bank_code
1;Car enable invoice;Networked;SMTP;Representative Money brand
2;transmit Toys neural-net;Sum Market grey;Representative Cambridgeshire Cambridgeshire;Gorgeous
3;firewall Carolina Frozen;Markets;Vermont engineer;generating compressing
4;users user-centric;holistic cross-platform Open-architected;Music Cambridgeshire innovate;Nevada
5;port e-markets Steel;Robust hard;ivory Gloves;Fantastic Account Ville
6;Togo Idaho deposit;system;mission-critical;Valleys Australian
7;architectures;transmitting;Corporate Sleek;indexing Liaison Dollar
8;Austria Card distributed;strategize;SMTP matrix;Towels
9;Synergized overriding motivating;Solutions Money;e-enable Awesome;Directives Belgium Lead
10;Maine IB Rubber;Customer virtual Ports;User AI;Principal Tanzania
