id;factory_name;factory_name_mr;factory_code;factory_code_mr;factory_address;factory_address_mr;description;status
1;ew resort;vengeful;24640;prefigure;pasteurize by;that;whenever icy;true
2;troll oh amid;carefully tensely runny;31284;bleakly stalk violently;gee;aw yearly lest;wildly;true
3;besides page;courteous yum er;28090;headline now reappoint;where;next so;poorly;true
4;under neglected loosely;than;30808;although downforce;meat aha excluding;ouch bathtub;drat impish raw;false
5;er supposing;incidentally among;17681;ouch since card;unexpectedly telecast searchingly;against sermon;per or;true
6;round analyst earmark;brr prestigious;25679;ew unethically overcoat;perfectly backpack if;buttery waltz pinecone;unfortunate for likewise;false
7;above under;restfully instead;23434;inasmuch now;apropos;ack;brr across reach;false
8;keenly;for;1530;yahoo redraw dishonest;owner basic;before unless unto;despite since incredible;true
9;fooey kindhearted;to towel;30103;hut;swimming;huzzah nightclub;before;false
10;but apud;gee;20001;but slide hence;aw small before;besides;love;true
