id;title;content;is_read;created_at;recipient;sender;type
1;Rustic Throughway;1080p;true;2023-08-07T06:27:42;generate purple program;copying Wooden;Directives invoice payment
2;web-readiness calculate partnerships;Specialist;true;2023-08-07T08:58:47;stable Intelligent;alarm compressing;Fresh payment Health
3;interface;Borders;false;2023-08-06T16:11:15;Table;Usability Jewelery;Spur Ameliorated
4;Chair workforce non-volatile;wireless mobile Skyway;true;2023-08-06T21:15:17;Tugrik Hat;back-end;payment
5;Investor Global architectures;(E.M.U.-6) scale;true;2023-08-07T12:11:18;Granite;Card Wooden navigate;ivory GB Avon
6;payment;applications multi-byte;false;2023-08-07T03:06:32;groupware;port;Tasty panel Handcrafted
7;ivory Unbranded;Tennessee Franc;false;2023-08-06T18:34:39;Rapid;human-resource Loan Account;Progressive Reactive
8;Algerian Shirt;Plastic driver connecting;false;2023-08-06T22:29:20;Manager International;Forward monitor Handcrafted;infomediaries wireless Legacy
9;Account bandwidth Germany;matrix;false;2023-08-07T01:12:28;Ergonomic XML;Key Account Cotton;Computer
10;Lights Ergonomic Profit-focused;world-class quantifying Greenland;false;2023-08-07T06:53:42;sticky;Estates Mountain;algorithm
